2025-02-28 11:26:16,315 [INFO] Connecting to serial port COM3.
2025-02-28 11:26:16,316 [ERROR] Serial connection error on COM3: could not open port 'COM3': FileNotFoundError(2, 'El sistema no puede encontrar el archivo especificado.', None, 2)
2025-02-28 11:26:16,316 [ERROR] Failed to connect to serial. Exiting.
2025-02-28 11:26:34,116 [INFO] Connecting to serial port COM3.
2025-02-28 11:26:34,119 [INFO] Connected to serial port COM3 at 9600 bps.
2025-02-28 11:26:37,549 [INFO] Initializing GUI.
2025-02-28 11:26:45,090 [INFO] Connecting to serial port COM3.
2025-02-28 11:26:45,093 [INFO] Connected to serial port COM3 at 9600 bps.
2025-02-28 11:26:45,142 [INFO] Initializing GUI.
2025-02-28 11:41:22,240 [INFO] Connecting to serial port COM3.
2025-02-28 11:41:22,244 [INFO] Connected to serial port COM3 at 9600 bps.
2025-02-28 11:41:22,317 [INFO] Initializing GUI.
2025-02-28 11:41:22,400 [INFO] Widgets created and arranged.
2025-02-28 11:41:22,402 [INFO] GUI initialized.
2025-02-28 11:41:24,646 [INFO] Executing remote command: sshpass -p admin0 ssh dev@192.168.1.96 "python3 /home/dev/Desktop/automata/capture_both_cameras.py"
2025-02-28 11:41:24,691 [ERROR] Capture failed. Error output:
[1:23:16.786110446] [2711] [1;32m INFO [1;37mRPI [1;34mpisp.cpp:1485 [0mSensor: /base/axi/pcie@120000/rp1/i2c@80000/arducam_64mp@1a - Selected sensor format: 9152x6944-SRGGB10_1X10 - Selected CFE format: 9152x6944-PC1R
Still capture image received
Mode selection for 9152:6944:12:P
    SRGGB10_CSI2P,1280x720/0 - Score: 29364.4
    SRGGB10_CSI2P,1920x1080/0 - Score: 27364.4
    SRGGB10_CSI2P,2312x1736/0 - Score: 25101.2
    SRGGB10_CSI2P,3840x2160/0 - Score: 21364.4
    SRGGB10_CSI2P,4624x3472/0 - Score: 17005.2
    SRGGB10_CSI2P,8000x6000/0 - Score: 5197.76
    SRGGB10_CSI2P,9152x6944/0 - Score: 1000
Stream configuration adjusted
[1:23:18.264393394] [2704] [1;32m INFO [1;37mCamera [1;34mcamera.cpp:1202 [0mconfiguring streams: (0) 9152x6944-YUV420 (1) 9152x6944-RGGB_PISP_COMP1
[1:23:18.272671914] [2712] [1;32m INFO [1;37mRPI [1;34mpisp.cpp:1485 [0mSensor: /base/axi/pcie@120000/rp1/i2c@88000/arducam_64mp@1a - Selected sensor format: 9152x6944-SRGGB10_1X10 - Selected CFE format: 9152x6944-PC1R
2025-02-28 11:50:43 [INFO] Foto capturada en /home/dev/Pictures/camara1/cam1_20250228-115034.jpg.
Still capture image received
2025-02-28 11:50:45 [INFO] Foto capturada en /home/dev/Pictures/camara0/cam0_20250228-115034.jpg.
2025-02-28 11:50:46 [INFO] Fotos capturadas exitosamente: cam0_20250228-115034.jpg, cam1_20250228-115034.jpg
2025-02-28 11:50:46 [INFO] Proceso de captura finalizado.
2025-02-28 11:50:48,071 [INFO] Log: Remote capture succeeded.
2025-02-28 11:50:48,082 [INFO] Log: High usage: CPU 1.9%, Memory 93.6%
2025-02-28 11:50:48,083 [WARNING] High usage: CPU 1.9%, Memory 93.6%
2025-02-28 11:50:53,098 [INFO] Log: High usage: CPU 1.3%, Memory 93.6%
2025-02-28 11:50:53,099 [WARNING] High usage: CPU 1.3%, Memory 93.6%
2025-02-28 11:50:58,114 [INFO] Log: High usage: CPU 1.1%, Memory 93.4%
2025-02-28 11:50:58,115 [WARNING] High usage: CPU 1.1%, Memory 93.4%
2025-02-28 11:51:03,129 [INFO] Log: High usage: CPU 0.9%, Memory 93.5%
2025-02-28 11:51:03,130 [WARNING] High usage: CPU 0.9%, Memory 93.5%
2025-02-28 11:51:08,152 [INFO] Log: High usage: CPU 1.0%, Memory 93.5%
2025-02-28 11:51:08,153 [WARNING] High usage: CPU 1.0%, Memory 93.5%
2025-02-28 11:51:13,172 [INFO] Log: High usage: CPU 0.8%, Memory 93.5%
2025-02-28 11:51:13,173 [WARNING] High usage: CPU 0.8%, Memory 93.5%
2025-02-28 11:51:18,183 [INFO] Log: High usage: CPU 0.8%, Memory 93.4%
2025-02-28 11:51:18,184 [WARNING] High usage: CPU 0.8%, Memory 93.4%
2025-02-28 11:51:23,207 [INFO] Log: High usage: CPU 1.0%, Memory 93.6%
2025-02-28 11:51:23,208 [WARNING] High usage: CPU 1.0%, Memory 93.6%
2025-02-28 11:51:28,221 [INFO] Log: High usage: CPU 0.8%, Memory 93.5%
2025-02-28 11:51:28,222 [WARNING] High usage: CPU 0.8%, Memory 93.5%
2025-02-28 11:51:33,234 [INFO] Log: High usage: CPU 1.1%, Memory 93.5%
2025-02-28 11:51:33,235 [WARNING] High usage: CPU 1.1%, Memory 93.5%
2025-02-28 11:51:38,258 [INFO] Log: High usage: CPU 0.7%, Memory 93.5%
2025-02-28 11:51:38,259 [WARNING] High usage: CPU 0.7%, Memory 93.5%
2025-02-28 11:51:43,269 [INFO] Log: High usage: CPU 1.0%, Memory 93.5%
2025-02-28 11:51:43,270 [WARNING] High usage: CPU 1.0%, Memory 93.5%
2025-02-28 11:51:48,292 [INFO] Log: High usage: CPU 2.2%, Memory 89.9%
2025-02-28 11:51:48,293 [WARNING] High usage: CPU 2.2%, Memory 89.9%
2025-02-28 11:51:53,312 [INFO] Log: High usage: CPU 1.0%, Memory 90.0%
2025-02-28 11:51:53,313 [WARNING] High usage: CPU 1.0%, Memory 90.0%
2025-02-28 11:51:58,333 [INFO] Log: High usage: CPU 1.1%, Memory 90.0%
2025-02-28 11:51:58,333 [WARNING] High usage: CPU 1.1%, Memory 90.0%
2025-02-28 11:52:03,352 [INFO] Log: High usage: CPU 1.6%, Memory 90.0%
2025-02-28 11:52:03,353 [WARNING] High usage: CPU 1.6%, Memory 90.0%
2025-02-28 11:52:08,375 [INFO] Log: High usage: CPU 3.3%, Memory 90.0%
2025-02-28 11:52:08,376 [WARNING] High usage: CPU 3.3%, Memory 90.0%
2025-02-28 11:52:13,385 [INFO] Log: High usage: CPU 3.7%, Memory 90.1%
2025-02-28 11:52:13,385 [WARNING] High usage: CPU 3.7%, Memory 90.1%
2025-02-28 11:52:18,407 [INFO] Log: High usage: CPU 1.8%, Memory 90.1%
2025-02-28 11:52:18,408 [WARNING] High usage: CPU 1.8%, Memory 90.1%
2025-02-28 11:52:23,424 [INFO] Log: High usage: CPU 2.9%, Memory 90.2%
2025-02-28 11:52:23,425 [WARNING] High usage: CPU 2.9%, Memory 90.2%
2025-02-28 11:52:28,434 [INFO] Log: High usage: CPU 2.5%, Memory 90.3%
2025-02-28 11:52:28,434 [WARNING] High usage: CPU 2.5%, Memory 90.3%
2025-02-28 11:52:33,450 [INFO] Log: High usage: CPU 3.4%, Memory 90.2%
2025-02-28 11:52:33,450 [WARNING] High usage: CPU 3.4%, Memory 90.2%
2025-02-28 11:52:38,467 [INFO] Log: High usage: CPU 2.1%, Memory 90.4%
2025-02-28 11:52:38,468 [WARNING] High usage: CPU 2.1%, Memory 90.4%
2025-02-28 11:52:43,480 [INFO] Log: High usage: CPU 3.4%, Memory 90.4%
2025-02-28 11:52:43,480 [WARNING] High usage: CPU 3.4%, Memory 90.4%
2025-02-28 11:52:48,495 [INFO] Log: High usage: CPU 3.7%, Memory 90.4%
2025-02-28 11:52:48,496 [WARNING] High usage: CPU 3.7%, Memory 90.4%
2025-02-28 11:52:53,510 [INFO] Log: High usage: CPU 3.2%, Memory 90.5%
2025-02-28 11:52:53,511 [WARNING] High usage: CPU 3.2%, Memory 90.5%
2025-02-28 11:52:58,528 [INFO] Log: High usage: CPU 3.8%, Memory 90.7%
2025-02-28 11:52:58,529 [WARNING] High usage: CPU 3.8%, Memory 90.7%
2025-02-28 11:53:03,547 [INFO] Log: High usage: CPU 3.1%, Memory 87.8%
2025-02-28 11:53:03,547 [WARNING] High usage: CPU 3.1%, Memory 87.8%
2025-02-28 11:53:08,556 [INFO] Log: High usage: CPU 5.0%, Memory 87.8%
2025-02-28 11:53:08,557 [WARNING] High usage: CPU 5.0%, Memory 87.8%
2025-02-28 11:53:13,571 [INFO] Log: High usage: CPU 2.2%, Memory 87.9%
2025-02-28 11:53:13,571 [WARNING] High usage: CPU 2.2%, Memory 87.9%
2025-02-28 11:53:18,583 [INFO] Log: High usage: CPU 7.1%, Memory 87.9%
2025-02-28 11:53:18,584 [WARNING] High usage: CPU 7.1%, Memory 87.9%
2025-02-28 11:53:23,601 [INFO] Log: High usage: CPU 7.9%, Memory 87.9%
2025-02-28 11:53:23,602 [WARNING] High usage: CPU 7.9%, Memory 87.9%
2025-02-28 11:53:28,614 [INFO] Log: High usage: CPU 7.6%, Memory 87.9%
2025-02-28 11:53:28,615 [WARNING] High usage: CPU 7.6%, Memory 87.9%
2025-02-28 11:53:33,629 [INFO] Log: High usage: CPU 14.0%, Memory 88.1%
2025-02-28 11:53:33,630 [WARNING] High usage: CPU 14.0%, Memory 88.1%
2025-02-28 11:53:38,653 [INFO] Log: High usage: CPU 13.0%, Memory 88.0%
2025-02-28 11:53:38,654 [WARNING] High usage: CPU 13.0%, Memory 88.0%
2025-02-28 11:53:43,673 [INFO] Log: High usage: CPU 10.9%, Memory 88.1%
2025-02-28 11:53:43,674 [WARNING] High usage: CPU 10.9%, Memory 88.1%
2025-02-28 11:53:48,690 [INFO] Log: High usage: CPU 10.5%, Memory 88.1%
2025-02-28 11:53:48,691 [WARNING] High usage: CPU 10.5%, Memory 88.1%
2025-02-28 11:53:53,713 [INFO] Log: High usage: CPU 11.0%, Memory 88.0%
2025-02-28 11:53:53,714 [WARNING] High usage: CPU 11.0%, Memory 88.0%
2025-02-28 11:53:58,737 [INFO] Log: High usage: CPU 2.5%, Memory 88.0%
2025-02-28 11:53:58,738 [WARNING] High usage: CPU 2.5%, Memory 88.0%
2025-02-28 11:54:03,747 [INFO] Log: High usage: CPU 0.8%, Memory 88.0%
2025-02-28 11:54:03,748 [WARNING] High usage: CPU 0.8%, Memory 88.0%
2025-02-28 11:54:08,769 [INFO] Log: High usage: CPU 0.6%, Memory 88.0%
2025-02-28 11:54:08,770 [WARNING] High usage: CPU 0.6%, Memory 88.0%
2025-02-28 11:54:13,785 [INFO] Log: High usage: CPU 0.8%, Memory 88.0%
2025-02-28 11:54:13,786 [WARNING] High usage: CPU 0.8%, Memory 88.0%
2025-02-28 11:54:18,797 [INFO] Log: High usage: CPU 0.6%, Memory 88.1%
2025-02-28 11:54:18,797 [WARNING] High usage: CPU 0.6%, Memory 88.1%
2025-02-28 11:54:23,804 [INFO] Log: High usage: CPU 0.5%, Memory 88.0%
2025-02-28 11:54:23,805 [WARNING] High usage: CPU 0.5%, Memory 88.0%
2025-02-28 11:54:28,828 [INFO] Log: High usage: CPU 0.8%, Memory 88.1%
2025-02-28 11:54:28,828 [WARNING] High usage: CPU 0.8%, Memory 88.1%
2025-02-28 11:54:33,838 [INFO] Log: High usage: CPU 1.0%, Memory 88.0%
2025-02-28 11:54:33,839 [WARNING] High usage: CPU 1.0%, Memory 88.0%
2025-02-28 11:54:38,855 [INFO] Log: High usage: CPU 1.3%, Memory 88.0%
2025-02-28 11:54:38,855 [WARNING] High usage: CPU 1.3%, Memory 88.0%
2025-02-28 11:54:43,870 [INFO] Log: High usage: CPU 1.8%, Memory 86.9%
2025-02-28 11:54:43,871 [WARNING] High usage: CPU 1.8%, Memory 86.9%
2025-02-28 11:54:48,890 [INFO] Log: High usage: CPU 1.3%, Memory 86.9%
2025-02-28 11:54:48,891 [WARNING] High usage: CPU 1.3%, Memory 86.9%
2025-02-28 11:54:53,903 [INFO] Log: High usage: CPU 1.1%, Memory 86.7%
2025-02-28 11:54:53,903 [WARNING] High usage: CPU 1.1%, Memory 86.7%
2025-02-28 11:54:58,922 [INFO] Log: High usage: CPU 1.3%, Memory 86.8%
2025-02-28 11:54:58,923 [WARNING] High usage: CPU 1.3%, Memory 86.8%
2025-02-28 11:55:03,940 [INFO] Log: High usage: CPU 1.2%, Memory 86.8%
2025-02-28 11:55:03,941 [WARNING] High usage: CPU 1.2%, Memory 86.8%
2025-02-28 11:55:08,954 [INFO] Log: High usage: CPU 1.3%, Memory 86.8%
2025-02-28 11:55:08,955 [WARNING] High usage: CPU 1.3%, Memory 86.8%
2025-02-28 11:55:13,973 [INFO] Log: High usage: CPU 0.8%, Memory 86.8%
2025-02-28 11:55:13,974 [WARNING] High usage: CPU 0.8%, Memory 86.8%
2025-02-28 11:55:18,987 [INFO] Log: High usage: CPU 1.1%, Memory 86.8%
2025-02-28 11:55:18,988 [WARNING] High usage: CPU 1.1%, Memory 86.8%
2025-02-28 11:55:24,007 [INFO] Log: High usage: CPU 1.0%, Memory 87.0%
2025-02-28 11:55:24,008 [WARNING] High usage: CPU 1.0%, Memory 87.0%
2025-02-28 11:55:29,016 [INFO] Log: High usage: CPU 1.0%, Memory 86.9%
2025-02-28 11:55:29,017 [WARNING] High usage: CPU 1.0%, Memory 86.9%
2025-02-28 11:55:34,038 [INFO] Log: High usage: CPU 1.2%, Memory 86.9%
2025-02-28 11:55:34,038 [WARNING] High usage: CPU 1.2%, Memory 86.9%
2025-02-28 11:55:39,049 [INFO] Log: High usage: CPU 1.2%, Memory 86.9%
2025-02-28 11:55:39,050 [WARNING] High usage: CPU 1.2%, Memory 86.9%
2025-02-28 11:55:44,073 [INFO] Log: High usage: CPU 1.0%, Memory 86.9%
2025-02-28 11:55:44,074 [WARNING] High usage: CPU 1.0%, Memory 86.9%
2025-02-28 11:55:49,095 [INFO] Log: High usage: CPU 1.3%, Memory 86.9%
2025-02-28 11:55:49,095 [WARNING] High usage: CPU 1.3%, Memory 86.9%
2025-02-28 11:55:54,114 [INFO] Log: High usage: CPU 0.8%, Memory 87.0%
2025-02-28 11:55:54,115 [WARNING] High usage: CPU 0.8%, Memory 87.0%
2025-02-28 11:55:59,127 [INFO] Log: High usage: CPU 1.2%, Memory 86.9%
2025-02-28 11:55:59,128 [WARNING] High usage: CPU 1.2%, Memory 86.9%
2025-02-28 11:56:04,151 [INFO] Log: High usage: CPU 1.4%, Memory 87.0%
2025-02-28 11:56:04,151 [WARNING] High usage: CPU 1.4%, Memory 87.0%
2025-02-28 11:56:09,178 [INFO] Log: High usage: CPU 1.0%, Memory 87.0%
2025-02-28 11:56:09,178 [WARNING] High usage: CPU 1.0%, Memory 87.0%
2025-02-28 11:56:14,194 [INFO] Log: High usage: CPU 1.0%, Memory 87.0%
2025-02-28 11:56:14,196 [WARNING] High usage: CPU 1.0%, Memory 87.0%
2025-02-28 11:56:19,203 [INFO] Log: High usage: CPU 1.1%, Memory 87.0%
2025-02-28 11:56:19,204 [WARNING] High usage: CPU 1.1%, Memory 87.0%
2025-02-28 11:56:24,212 [INFO] Log: High usage: CPU 1.1%, Memory 87.0%
2025-02-28 11:56:24,213 [WARNING] High usage: CPU 1.1%, Memory 87.0%
2025-02-28 11:56:29,234 [INFO] Log: High usage: CPU 1.1%, Memory 87.2%
2025-02-28 11:56:29,234 [WARNING] High usage: CPU 1.1%, Memory 87.2%
2025-02-28 11:56:34,259 [INFO] Log: High usage: CPU 0.9%, Memory 87.1%
2025-02-28 11:56:34,259 [WARNING] High usage: CPU 0.9%, Memory 87.1%
2025-02-28 11:56:39,281 [INFO] Log: High usage: CPU 1.2%, Memory 87.0%
2025-02-28 11:56:39,281 [WARNING] High usage: CPU 1.2%, Memory 87.0%
2025-02-28 11:56:44,292 [INFO] Log: High usage: CPU 1.4%, Memory 86.9%
2025-02-28 11:56:44,293 [WARNING] High usage: CPU 1.4%, Memory 86.9%
2025-02-28 11:56:49,310 [INFO] Log: High usage: CPU 2.2%, Memory 87.0%
2025-02-28 11:56:49,311 [WARNING] High usage: CPU 2.2%, Memory 87.0%
2025-02-28 11:56:54,320 [INFO] Log: High usage: CPU 1.2%, Memory 87.0%
2025-02-28 11:56:54,321 [WARNING] High usage: CPU 1.2%, Memory 87.0%
2025-02-28 11:56:59,331 [INFO] Log: High usage: CPU 1.2%, Memory 87.0%
2025-02-28 11:56:59,332 [WARNING] High usage: CPU 1.2%, Memory 87.0%
2025-02-28 11:57:04,355 [INFO] Log: High usage: CPU 1.3%, Memory 87.0%
2025-02-28 11:57:04,355 [WARNING] High usage: CPU 1.3%, Memory 87.0%
2025-02-28 11:57:09,375 [INFO] Log: High usage: CPU 0.8%, Memory 87.1%
2025-02-28 11:57:09,376 [WARNING] High usage: CPU 0.8%, Memory 87.1%
2025-02-28 11:57:14,386 [INFO] Log: High usage: CPU 1.1%, Memory 87.1%
2025-02-28 11:57:14,386 [WARNING] High usage: CPU 1.1%, Memory 87.1%
2025-02-28 11:57:19,405 [INFO] Log: High usage: CPU 1.1%, Memory 87.1%
2025-02-28 11:57:19,406 [WARNING] High usage: CPU 1.1%, Memory 87.1%
2025-02-28 11:57:24,419 [INFO] Log: High usage: CPU 1.3%, Memory 87.1%
2025-02-28 11:57:24,420 [WARNING] High usage: CPU 1.3%, Memory 87.1%
2025-02-28 11:57:29,435 [INFO] Log: High usage: CPU 1.3%, Memory 87.1%
2025-02-28 11:57:29,436 [WARNING] High usage: CPU 1.3%, Memory 87.1%
2025-02-28 11:57:34,446 [INFO] Log: High usage: CPU 1.0%, Memory 87.1%
2025-02-28 11:57:34,447 [WARNING] High usage: CPU 1.0%, Memory 87.1%
2025-02-28 11:57:39,471 [INFO] Log: High usage: CPU 1.2%, Memory 87.1%
2025-02-28 11:57:39,472 [WARNING] High usage: CPU 1.2%, Memory 87.1%
2025-02-28 11:57:44,490 [INFO] Log: High usage: CPU 1.0%, Memory 87.2%
2025-02-28 11:57:44,491 [WARNING] High usage: CPU 1.0%, Memory 87.2%
2025-02-28 11:57:49,502 [INFO] Log: High usage: CPU 1.1%, Memory 87.2%
2025-02-28 11:57:49,502 [WARNING] High usage: CPU 1.1%, Memory 87.2%
2025-02-28 11:57:54,518 [INFO] Log: High usage: CPU 2.0%, Memory 87.8%
2025-02-28 11:57:54,519 [WARNING] High usage: CPU 2.0%, Memory 87.8%
2025-02-28 11:57:59,535 [INFO] Log: High usage: CPU 2.6%, Memory 86.5%
2025-02-28 11:57:59,536 [WARNING] High usage: CPU 2.6%, Memory 86.5%
2025-02-28 11:58:04,553 [INFO] Log: High usage: CPU 1.6%, Memory 85.8%
2025-02-28 11:58:04,553 [WARNING] High usage: CPU 1.6%, Memory 85.8%
2025-02-28 11:58:09,565 [INFO] Log: High usage: CPU 0.4%, Memory 85.9%
2025-02-28 11:58:09,566 [WARNING] High usage: CPU 0.4%, Memory 85.9%
2025-02-28 11:58:14,585 [INFO] Log: High usage: CPU 0.7%, Memory 85.9%
2025-02-28 11:58:14,596 [WARNING] High usage: CPU 0.7%, Memory 85.9%
2025-02-28 11:58:19,612 [INFO] Log: High usage: CPU 0.5%, Memory 85.9%
2025-02-28 11:58:19,613 [WARNING] High usage: CPU 0.5%, Memory 85.9%
2025-02-28 11:58:24,634 [INFO] Log: High usage: CPU 0.6%, Memory 85.9%
2025-02-28 11:58:24,635 [WARNING] High usage: CPU 0.6%, Memory 85.9%
2025-02-28 11:58:29,647 [INFO] Log: High usage: CPU 0.7%, Memory 86.1%
2025-02-28 11:58:29,648 [WARNING] High usage: CPU 0.7%, Memory 86.1%
2025-02-28 11:58:34,664 [INFO] Log: High usage: CPU 0.9%, Memory 86.1%
2025-02-28 11:58:34,664 [WARNING] High usage: CPU 0.9%, Memory 86.1%
2025-02-28 11:58:39,674 [INFO] Log: High usage: CPU 0.6%, Memory 86.1%
2025-02-28 11:58:39,674 [WARNING] High usage: CPU 0.6%, Memory 86.1%
2025-02-28 11:58:44,682 [INFO] Log: High usage: CPU 0.5%, Memory 86.1%
2025-02-28 11:58:44,683 [WARNING] High usage: CPU 0.5%, Memory 86.1%
2025-02-28 11:58:49,703 [INFO] Log: High usage: CPU 0.7%, Memory 86.1%
2025-02-28 11:58:49,704 [WARNING] High usage: CPU 0.7%, Memory 86.1%
2025-02-28 11:58:54,728 [INFO] Log: High usage: CPU 0.6%, Memory 86.0%
2025-02-28 11:58:54,728 [WARNING] High usage: CPU 0.6%, Memory 86.0%
2025-02-28 11:58:59,747 [INFO] Log: High usage: CPU 0.7%, Memory 85.9%
2025-02-28 11:58:59,747 [WARNING] High usage: CPU 0.7%, Memory 85.9%
2025-02-28 11:59:04,757 [INFO] Log: High usage: CPU 0.8%, Memory 86.0%
2025-02-28 11:59:04,768 [WARNING] High usage: CPU 0.8%, Memory 86.0%
2025-02-28 11:59:09,780 [INFO] Log: High usage: CPU 0.5%, Memory 86.0%
2025-02-28 11:59:09,781 [WARNING] High usage: CPU 0.5%, Memory 86.0%
2025-02-28 11:59:14,792 [INFO] Log: High usage: CPU 0.9%, Memory 86.0%
2025-02-28 11:59:14,792 [WARNING] High usage: CPU 0.9%, Memory 86.0%
2025-02-28 11:59:19,813 [INFO] Log: High usage: CPU 0.7%, Memory 86.0%
2025-02-28 11:59:19,814 [WARNING] High usage: CPU 0.7%, Memory 86.0%
2025-02-28 11:59:24,823 [INFO] Log: High usage: CPU 0.6%, Memory 86.0%
2025-02-28 11:59:24,823 [WARNING] High usage: CPU 0.6%, Memory 86.0%
2025-02-28 11:59:29,843 [INFO] Log: High usage: CPU 0.6%, Memory 86.0%
2025-02-28 11:59:29,844 [WARNING] High usage: CPU 0.6%, Memory 86.0%
2025-02-28 11:59:34,856 [INFO] Log: High usage: CPU 1.2%, Memory 85.7%
2025-02-28 11:59:34,857 [WARNING] High usage: CPU 1.2%, Memory 85.7%
2025-02-28 11:59:39,893 [INFO] Log: High usage: CPU 0.7%, Memory 85.9%
2025-02-28 11:59:39,894 [WARNING] High usage: CPU 0.7%, Memory 85.9%
2025-02-28 11:59:44,914 [INFO] Log: High usage: CPU 0.8%, Memory 85.9%
2025-02-28 11:59:44,915 [WARNING] High usage: CPU 0.8%, Memory 85.9%
2025-02-28 11:59:49,937 [INFO] Log: High usage: CPU 0.6%, Memory 85.9%
2025-02-28 11:59:49,937 [WARNING] High usage: CPU 0.6%, Memory 85.9%
2025-02-28 11:59:54,947 [INFO] Log: High usage: CPU 0.8%, Memory 85.9%
2025-02-28 11:59:54,947 [WARNING] High usage: CPU 0.8%, Memory 85.9%
2025-02-28 11:59:59,953 [INFO] Log: High usage: CPU 0.5%, Memory 85.9%
2025-02-28 11:59:59,954 [WARNING] High usage: CPU 0.5%, Memory 85.9%
2025-02-28 12:00:04,961 [INFO] Log: High usage: CPU 0.9%, Memory 86.0%
2025-02-28 12:00:04,962 [WARNING] High usage: CPU 0.9%, Memory 86.0%
2025-02-28 12:00:09,983 [INFO] Log: High usage: CPU 0.5%, Memory 86.1%
2025-02-28 12:00:09,984 [WARNING] High usage: CPU 0.5%, Memory 86.1%
2025-02-28 12:00:15,007 [INFO] Log: High usage: CPU 0.6%, Memory 86.1%
2025-02-28 12:00:15,008 [WARNING] High usage: CPU 0.6%, Memory 86.1%
2025-02-28 12:00:20,016 [INFO] Log: High usage: CPU 0.6%, Memory 86.1%
2025-02-28 12:00:20,017 [WARNING] High usage: CPU 0.6%, Memory 86.1%
2025-02-28 12:00:25,038 [INFO] Log: High usage: CPU 0.8%, Memory 86.1%
2025-02-28 12:00:25,039 [WARNING] High usage: CPU 0.8%, Memory 86.1%
2025-02-28 12:00:30,056 [INFO] Log: High usage: CPU 0.7%, Memory 86.1%
2025-02-28 12:00:30,057 [WARNING] High usage: CPU 0.7%, Memory 86.1%
2025-02-28 12:00:35,071 [INFO] Log: High usage: CPU 0.9%, Memory 86.1%
2025-02-28 12:00:35,072 [WARNING] High usage: CPU 0.9%, Memory 86.1%
2025-02-28 12:00:40,083 [INFO] Log: High usage: CPU 0.7%, Memory 86.1%
2025-02-28 12:00:40,084 [WARNING] High usage: CPU 0.7%, Memory 86.1%
2025-02-28 12:00:45,100 [INFO] Log: High usage: CPU 0.9%, Memory 86.1%
2025-02-28 12:00:45,101 [WARNING] High usage: CPU 0.9%, Memory 86.1%
2025-02-28 12:00:50,113 [INFO] Log: High usage: CPU 0.6%, Memory 86.1%
2025-02-28 12:00:50,114 [WARNING] High usage: CPU 0.6%, Memory 86.1%
2025-02-28 12:00:55,131 [INFO] Log: High usage: CPU 0.6%, Memory 86.3%
2025-02-28 12:00:55,132 [WARNING] High usage: CPU 0.6%, Memory 86.3%
2025-02-28 12:01:00,143 [INFO] Log: High usage: CPU 0.8%, Memory 86.4%
2025-02-28 12:01:00,144 [WARNING] High usage: CPU 0.8%, Memory 86.4%
2025-02-28 12:01:05,161 [INFO] Log: High usage: CPU 0.8%, Memory 86.6%
2025-02-28 12:01:05,171 [WARNING] High usage: CPU 0.8%, Memory 86.6%
2025-02-28 12:01:10,191 [INFO] Log: High usage: CPU 0.5%, Memory 86.5%
2025-02-28 12:01:10,191 [WARNING] High usage: CPU 0.5%, Memory 86.5%
2025-02-28 12:01:15,212 [INFO] Log: High usage: CPU 0.5%, Memory 86.5%
2025-02-28 12:01:15,213 [WARNING] High usage: CPU 0.5%, Memory 86.5%
2025-02-28 12:01:20,222 [INFO] Log: High usage: CPU 0.6%, Memory 86.5%
2025-02-28 12:01:20,223 [WARNING] High usage: CPU 0.6%, Memory 86.5%
2025-02-28 12:01:25,245 [INFO] Log: High usage: CPU 0.3%, Memory 86.5%
2025-02-28 12:01:25,245 [WARNING] High usage: CPU 0.3%, Memory 86.5%
2025-02-28 12:01:30,264 [INFO] Log: High usage: CPU 0.6%, Memory 86.5%
2025-02-28 12:01:30,265 [WARNING] High usage: CPU 0.6%, Memory 86.5%
2025-02-28 12:01:35,275 [INFO] Log: High usage: CPU 0.5%, Memory 86.5%
2025-02-28 12:01:35,276 [WARNING] High usage: CPU 0.5%, Memory 86.5%
2025-02-28 12:01:40,296 [INFO] Log: High usage: CPU 0.9%, Memory 86.5%
2025-02-28 12:01:40,297 [WARNING] High usage: CPU 0.9%, Memory 86.5%
2025-02-28 12:01:45,306 [INFO] Log: High usage: CPU 0.5%, Memory 86.5%
2025-02-28 12:01:45,307 [WARNING] High usage: CPU 0.5%, Memory 86.5%
2025-02-28 12:01:50,328 [INFO] Log: High usage: CPU 0.6%, Memory 86.5%
2025-02-28 12:01:50,328 [WARNING] High usage: CPU 0.6%, Memory 86.5%
2025-02-28 12:01:55,340 [INFO] Log: High usage: CPU 0.8%, Memory 86.3%
2025-02-28 12:01:55,341 [WARNING] High usage: CPU 0.8%, Memory 86.3%
2025-02-28 12:02:00,358 [INFO] Log: High usage: CPU 0.7%, Memory 86.2%
2025-02-28 12:02:00,358 [WARNING] High usage: CPU 0.7%, Memory 86.2%
2025-02-28 12:02:05,370 [INFO] Log: High usage: CPU 1.2%, Memory 86.9%
2025-02-28 12:02:05,371 [WARNING] High usage: CPU 1.2%, Memory 86.9%
2025-02-28 12:02:10,390 [INFO] Log: High usage: CPU 0.7%, Memory 86.9%
2025-02-28 12:02:10,390 [WARNING] High usage: CPU 0.7%, Memory 86.9%
2025-02-28 12:02:15,404 [INFO] Log: High usage: CPU 3.6%, Memory 90.5%
2025-02-28 12:02:15,404 [WARNING] High usage: CPU 3.6%, Memory 90.5%
2025-02-28 12:02:20,423 [INFO] Log: High usage: CPU 1.4%, Memory 88.3%
2025-02-28 12:02:20,424 [WARNING] High usage: CPU 1.4%, Memory 88.3%
2025-02-28 12:02:25,448 [INFO] Log: High usage: CPU 1.0%, Memory 88.5%
2025-02-28 12:02:25,449 [WARNING] High usage: CPU 1.0%, Memory 88.5%
2025-02-28 12:02:30,471 [INFO] Log: High usage: CPU 0.7%, Memory 88.5%
2025-02-28 12:02:30,472 [WARNING] High usage: CPU 0.7%, Memory 88.5%
2025-02-28 12:02:35,495 [INFO] Log: High usage: CPU 0.9%, Memory 88.4%
2025-02-28 12:02:35,496 [WARNING] High usage: CPU 0.9%, Memory 88.4%
